,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Thomas Howe,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Michelle Morgan,Google’s Immersive Geospatial Challenge,ClockHacks,HackLBS,KuriusHacks: Christmas Edition 2021,HackmaFest
William Sandoval,Foursquare Places Hackathon,Ensenada Hackathon 2022,Girls in Tech Mental Health for All Hackathon,FOLLOW THE WHITE RABBIT HACKATHON 2021,Intelligent Innovators Hackathon 2022
William Lynch,Google’s Immersive Geospatial Challenge,WildHacks,HackNJIT 2022,GreatUniHack 2022,Awaiken Hacks 2023
Steven Miller,them@iit,RISE 2022 - Growing Healthy Communities,Quackathon 2022,CS Week 3.0 Hackathon,Liquid Hacks 
Caitlin Rodriguez,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,MarinaHacks 2022,XDC DeFi Hackathon,HackLBS,HackBlue Cyber Hackathon
Miguel Franklin,HackWise 2020,Intellothon,Kore.ai Botathon,MuleSoft Hackathon 2021,Turn Language into Action: A Natural Language Hackathon for Good
Christopher Bradshaw,Datathon FME 2022,Databricks Asia Pacific LLM Cup 2023,ML4Earth Hackathon 2022 (online),Syracuse Open Data Day,Data Hackfest
Melissa Hess,API World Hackathon 2022,Red Bull AdrenaLAN 2019,Opportunity Hack 2021,Prototypical,1st PHYSICS Hackathon
Ashley Ayala,API World Hackathon 2022,Oxfam/IFRAD Hackathon,Ideate,AI & Music festival hackathon,Clarkathon 2023
Nicole Olson,Liquid Hacks 2.0,Celo's Make Crypto Mobile Hackathon,CodeRED Odyssey,AWS Data Exchange for APIs Challenge,Ideathon: Innovative Ideas
Ariel Duran,Creations 2.0,Design~wave,NewHacks - IEEE University of Toronto,PharmaHacks 2019,HackATL 2020
Richard Reid,API World Hackathon 2022,Hack Dearborn: Disrupt Reality,Technica 2021,HackTable2020,HackTX 2022
Kimberly Jones,DemonHacks 2019,Cosmos HackAtom V,Hackathon Solidário,PayString BlockSprint Hackathon,The GoldenHack
Adrian Rowe,Prototypical,SunflowerHack2021,Castlethon 3.0,NUS Inter-Hall Hackathon,Illinois Design Challenge 2022
Bryce Cruz,San Diego Zoohackathon 2019,HackWise 2021,Micro Hack 2023,Uganda Zoohackathon 2019,Hajjathon
Stacey Edwards,API World Hackathon 2022,Fitch 2022 Codeathon for Education,HackRPI Fall 2020,Vivid Hacks RICI,Uganda Zoohackathon 2019
Angela Myers,Data Natives Hackathon ,DeveloperWeek Austin 2021 Hackathon,Cisco Meraki Global Hackathon 2022,CodeUp Hackathon,Start Green Hackathon 2020
Victoria Williams,UofA Blueprint Hackathon,Zoohackathon 2020 Asia,hackaTUM C0dev1d19,AI For Good,Epson Innovation Challenge #3
Thomas Johnson,API World Hackathon 2022,Cosmos HackAtom V,Hack APAC - “The New Normal is Yours!”,FuturistFest 2021,Metis Ethereum Hackathon
Jennifer Castro,Thailand champion,SHPE 2021 Innovation Challenge ,Amazon Aurora Database Challenge,DG Hack 01,KBTG Software Architecture Design and Development Hackathon 2019
Jennifer Mcclain,T-Mobile Hacktober 2019,AR VR FEST HACKATHON,Snap Kit Developer Challenge 2020,A-Z Hacks,AT&T 5G Hackathon
Victoria Brown,RMRKable Hacktoberfest,Torus 4 Everyone,Swiss Blockchain Hackathon 2021,Metis Ethereum Hackathon,Privacy4Web3 Hackathon
Sherry Thomas,Google’s Immersive Geospatial Challenge,Start Green Hackathon 2020,SCEhacks,GreatUniHack19,Hackathon Solidário
Bethany Clark,API World Hackathon 2022,Codegeist 2022,Theta Hackathon Q3 2021,Snap Spotlight Lensathon,AWS Data Exchange for APIs Challenge
Sandra Ray,API World Hackathon 2022,Ideate,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon,CPES Hack in Scratch 2022
David Powell,Bitcoin Hackathon for MFI & Education,Utonhack 2021 / Clover ,DigitalBits Blockchain Hackathon,Investment Week La Hackathon 2023 ,EVMxIdeathon
Mark Williams,HackED Society's Decodeathon,EUREKA! 2023,DivHacks,Beantown Bash,Microsoft AI Classroom Hackathon
Andrea Smith,Google’s Immersive Geospatial Challenge,Devfest'22 Algiers,Teens in AI presents International Women's Day Global Hackathon,2021 NY Artificial Intelligence Healthcare Entrepreneurship AIdeathon,DTE Designathon 2023
Raymond Wall,Random Power Hackathon,jacobsHack!2022,SF Global Progcomp,PropTech Challenge - presented by REBNY,IOT & Security Blockchain Hackathon #T-LabsHACK 
Teresa Wilson,Quick Base Virtual Hackathon,Hack Plaksha,UX Scene Designathon 2022,sHacks v2.05 (pre-alpha release) FINAL (1).docx,AUIB Hackathon 
Patrick Morris,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Kenneth Brown,Zoohackathon 2019 - Kota Kinabalu,AstraHacks 2.0,Square + Google AI Hackathon,Carolina Data Challenge 2021,HackElevate
David Rivera,Thailand champion,Data Science Bootcamp with ChatGPT by Skill Academy,Alexa Skills Challenge: Beyond Voice,Transitioning From Web 2 to Web 3 Learnathon,Hackatoshi's Flying Circuit 2021
Mr. Bradley Stewart,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Jamie Castillo,Pebble Change the World Hackathon ($70K in prizes),WQCC x IBM Quantum Qiskit Fall Fest Hackathon,Code for Change 2023 Hackathon,HackDuke: Code for Good 2022,TechTogether Boston 2023
Benjamin Robinson,Santander Digital Trust Hackathon,Nordic IT Security Hackathon 2023,Hack At Home,Privacy4Web3 Hackathon,Swiss Blockchain Hackathon 2021
Sandra Dixon,AI & Music festival hackathon,TMLCC 2021,UF AI Days 24-hour Hackathon Oct 26-27th 2022. Register today to find teammates.,Databricks Asia Pacific LLM Cup 2023,Datathon FME 2022
Benjamin Moore,LEC Hacks 2023,NUS Inter-Hall Hackathon,BlockHack Hackathon,UNT NSBEHack 2023,LEC Hacks
Keith Beck,API World Hackathon 2022,VTHacks X,Hack Dearborn: Disrupt Reality,BlockHack Hackathon,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)"
Krystal Bell,API World Hackathon 2022,CodeRED Odyssey,Hackadtech - open hackathon by AdTech Holding,INRIX Hack 2022,Patriot_Hacks
Monica Morales,Open Web House Puerto Vallarta,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,Privacy4Web3 Hackathon,D Incuvator,Chainlink Fall 2022 Hackathon
Natasha Conway,SFU Engineering Competition 2021,Fintech Collab Hack: TIAA Challenge,MuleSoft Hackathon 2021,EZHacks,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM
Gregory Waters,AI in Education Hackathon by ASU ScaleU,Garuda Hacks v2.0,"Sunshine State Hackathon, Florida, Oct.21-23",CharlestonHacks harborHack (in person only),McGill Physics Hackathon 2019
James Rowland,Hackatoshi's Flying Circuit 2021,Data Science Bootcamp with ChatGPT by Skill Academy,Transitioning From Web 2 to Web 3 Learnathon,HackMantra,avln
Jose Wright,hackHer,2021 Calgary Youth Hackathon,Corpus Hacks,Earthify Hacks 2.0,WHACK 2021
Brian Graham,API World Hackathon 2022,Smart Aurangabad Hackathon ,The GoldenHack 4.0,Microsoft #BuildFor2030 Hackathon,Codestellation 2020
Kimberly Stone,API World Hackathon 2022,ProjectCSGirls Fremont 2021 Hackathon,Cosmos HackAtom VI ,Celo's Make Crypto Mobile Hackathon,Google Maps Platform Hackathon
Andrew Howard,QuackHacks Spring 2023,Hacky Winterland 2,TRON Grand Hackathon - Season 3,Intelligent Innovators Hackathon 2022,#HACK4WOMEN
Catherine Adams,Google’s Immersive Geospatial Challenge,Torus 4 Everyone,Hack the Valley 8,CrimsonCode Hackathon,Fall 2022 BeaverHacks Life-Hackathon 
Dr. Travis Smith,Dementia - Our Common Challenge,Decentralized Identity Foundation Hackathon,GDST Bali Trackathon,ELC Hackathon 2021: Hack4A11y,MinorityProgrammers: ElectionHackathon
Cynthia Pena,The 6-week Smart Contract Hackathon,XRPL Hackathon: NFT Launch Party,2021 Calgary Youth Hackathon,AR VR FEST HACKATHON,Miami Buildathon
Stacy Vega,Beantown Bash,Square + Google AI Hackathon,MarinaHacks 2022,NCDevHack 2022,HackAttack
Rachel Martin,API World Hackathon 2022,WSU Nexus,Dementia - Our Common Challenge,DigiEduHack Barcelona,Hackathon Bojonegoro
Parker Fox,Hack Upstate XV,SharkHack's MiniHack,HackAttack,Indigitous #HACK @ Texas 2020,HackNC 2020
Mrs. Janice Roberts DVM,API World Hackathon 2022,YouthCodeX,Cosmos HackAtom V,The Freshworks Refresh App Challenge ,Web3 Stack Hack
Dr. Michael Lutz,ProjectCSGirls Fremont 2021 Hackathon,Ink and Metal | STEM Olympics,FEMHacks 2.0,Horror Hacks,Hello 8th Wall Workshop in Berlin!
Vanessa Thompson,RALLYtoUS + VetsinTech Online Hackathon,Midnight Hacks,myNetworkHer[Hacks],Courier Hacks: Feature Focus,VandyHacks X
Kenneth Good,CodeDAO Web3 Hackathon,SunflowerHack2021,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,TAMU Datathon 2020,HackOnLisk2
Sharon Fuller,API World Hackathon 2022,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,Privacy4Web3 Hackathon,Chainlink Fall 2022 Hackathon,Pega Community Hackathon 2022
Jenna Richardson,Google’s Immersive Geospatial Challenge,HackWise 2020,Steel Hacks 2023,Space City Hacks 2023,Brook Codes 2022
Daniel Estes,Encode Justice NY Hackathon,Metis Ethereum Hackathon,Hack It Together 2023,Web3 Hackathon Puerto Rico 2.0,Brook Codes 2023
Sharon Dyer,Legend Hacks,Disrupt Puerto Rico Hackathon,"CryptoChicks Blockchain and AI Hackathon and Conference 2020 in Toronto, Canada",AI Blockchain,HackARG
Cynthia Morgan,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Erica Thomas,Google’s Immersive Geospatial Challenge,VizData Hacks 2,TigerHacks,UGAHacks Makeathon,Design-a-thon
Krista Herrera,Google’s Immersive Geospatial Challenge,McGill Physics Hackathon 2019,Luna Hacks  : Software Engineering ,AYLUS Humanity Hacks,SacHacks IV
Ashley Weeks,API World Hackathon 2022,Hack Concode,Hack APAC - “The New Normal is Yours!”,FuturistFest 2021,Hack4Earth
Michael Burke,Call for Startups,Twitch Dev Jam 2019,HackathonX,Snap Developer Challenge 2021,The Brandeis Quant Club ML/AI Competition
Michelle Davis,API World Hackathon 2022,XDC DeFi Hackathon,The 6-week Smart Contract Hackathon,Snap Kit Developer Challenge 2020,Cosmos HackAtom V
Daniel Price MD,Fintech Collab Hack: TIAA Challenge,DemonHacks,The Brandeis Quant Club ML/AI Competition,SMU LIT Hackathon 2022,HackathonX
Jason Simon,Facebook Developer Circles London: Building Conversational AI for Messenger,Brook Codes 2022,GreatUniHack 2022,Awaiken Hacks 2023,Strike: A Virtual Lightning Hackathon
Tyler Munoz,#PayAsYouKnow Hackathon,Ideahack! - WHU`s Hackathon ,Courier Hacks: Feature Focus,MATLAB Hackathon Uniroma2,TonkaHacks 2021
Justin Miller,NewHacks - IEEE University of Toronto,HP SCDS 2019 Hackathon. La España vacia,DeveloperWeek Enterprise 2022 Hackathon,CasbahTech Hackathon,HackATL 2020
Melissa Barnes,Northumbrian Water Data Hacks #IF2021,EUREKA! 2023,loomSDK Holiday Hack,Appathon Nov'19,Agora Video SDK Hackathon (Web)
Michael Mcconnell,Reconnect-Ed,Unite Hacks,Prototypical,Inisio Hacks,YeeHaw Hacks 2
Janice Boyer,HackED Society's Decodeathon,The Hackathon 2021,XRPL Hackathon: NFT Launch Party,Live || Hack 3ª Edição,BlockHack Hackathon
Anthony Bird,Dropbox Sign AI-Powered Agreements Hackathon,"""Hello 8th Wall"" Workshop in Paris!",HackUIowa '23,"Motor City Hack on Mobility, Health and Well-being",Tech Takes On Mental Health Hackathon
Lisa Hansen,API World Hackathon 2022,BlockHack Hackathon,HackTX 2022,Torus 4 Everyone,API World Hackathon 2021
Steven Farrell,Potatathon,HackBlue Cyber Hackathon,"Cornucodia ($17k+ in prizes, internship opportunities)",The Raccoons 2022,YCP Hacks 2023
Mr. Michael Barber,MataHacks 2020,Devpost is a global,HubSpot Themes Challenge 2020,HackMIT 2020,Agora.io HolidayHack 2018
Rachel Davis DVM,API World Hackathon 2022,Westview Hacks,DigitalBits Blockchain Hackathon,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)",FEMTech Bootcamp
Lauren Rivera,Uberposition,2022 FOOD SYSTEMS CHALLENGE HACK,OSHHACK 11 [2022-2023] ,NNHSHacks,HackmaFest
Alicia Kramer,API World Hackathon 2022,LunarHacks 2022,Back To Hacking,WildHacks,Support-a-thon
Monica Davis,Hack Brooklyn 2021,GPT Plugins (S)Hackathon,Square + Google AI Hackathon,SLO Hacks Go,CharlestonHacks harborHack (in person only)
Jenna Anderson,Snap Kit Developer Challenge 2020,WHS GWC x Robotics Hackathon,hackMCST VII,Columbia DivHacks 2020,Code Queen Challenge  Dec 2020
Terri Nielsen,Mockupp,Prototypical,Haryana Steelers Hackathon,UNT NSBEHack 2023,Design-a-thon
Sharon Gonzalez,API World Hackathon 2022,Microsoft Azure Innovation Challenge ,Snap Kit Developer Challenge 2020,Snap Developer Challenge 2021,Hack It Out
Terry Garza,Google’s Immersive Geospatial Challenge,Global Hack Week December Day 3,HackUTA 2022,Ultra Uniq NFT PFP Hackathon,Meet & Hack 2
Carlos Perez,KuriusHacks: Christmas Edition 2021,Hack the Bubble - ARCADE,NightHacks,Investment Week La Hackathon 2023 ,FinHack 2
Eric Navarro III,HackPrague 2020,FinHacks,FSI Hackathon,FutureHack,#HackTheHub Fintech Autumn Hackathon
Steven Beck,TAMU Datathon 2020,Pega Community Hackathon 2022,Datathon TAWS,HealthCareCodings Medhackathon,TechTogether Boston
Catherine Harrell,Clarkathon 2023,BlockHack 2023,HackQC 2022,BlockHack Global FE 2022,MLH Coding Challenge
Joshua Castillo,Investment Week La Hackathon 2023 ,Square: Build What’s POS_sible,Alexa Skills Challenge: In-Skill Purchasing,HackathonX,Women In Fintech
Robert Nelson,HackRPI,Midnight Hacks,MindHack'23 - Gebze Teknik Universitesi,HackYourPath3.0,Social Ideathon
Melissa Phelps,API World Hackathon 2022,Codestellation 2020,#ZiHack 9,Prompt Engineering Hackathon for Humanities,Hack/ED
Rebecca Doyle,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,Devfest'22 Algiers,Future of Forestry Hackathon,AI & Music festival hackathon,MksU Hackfest 2023
Charles Clark,API World Hackathon 2022,Smart Aurangabad Hackathon ,RALLYtoUS + VetsinTech Online Hackathon,#PayAsYouKnow Hackathon,What The Hack 2022
April Martinez,API World Hackathon 2022,Brook Codes 2022,Prototypical,GreatUniHack 2022,Awaiken Hacks 2023
Mr. Fernando Robinson,API World Hackathon 2022,STEM JAM,Hello 8th Wall Workshop in Berlin!,Сarcheckvin,Castlethon 3.0
Eugene Ibarra,12th Named Data Networking (NDN) Hackathon,uXperience | Think Privacy,Agora.io HolidayHack 2018,Azure Sentinel Hackathon 2021,MataHacks 2020
Matthew Gross,HackRPI Fall 2020,YouthCodeX,Step into STEM,CodeUp-Hack-22,NOVATHON
Chelsea Bailey,API World Hackathon 2022,HackElevate,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021,Cosmos HackAtom VI 
Joshua Costa,Hack to the Future 2020,Kiva Fall 2021 Hackathon,Cosmos HackAtom VI ,Chainlink Fall Hackathon 2021,Human DeFi Haeck
Juan Jones,Alexa Skills Challenge: In-Skill Purchasing,2. Provinzial Rheinland Hackathon: Future of Insurance,JingleHacks,Metaverse Hackathon,Atlanta Sci-fi Film Festival's (ASCIFFF) Game Jam
Troy Kerr,HackPrinceton Fall 2022, I’M-POSSIBLE Hackathon ー Japan-Israel Online Disability Hackathon,hackMCST VI,bitsxlaMarató 2021,ELC Hackathon 2021: Hack4A11y
Samuel Baldwin,Seerbit Future of Payment Hackathon ,UGAHacks Makeathon,WAI Global Responsible AI Hackathon,HackLBS,Hack to the Future 2020
Julia Henderson,SMU LIT Hackathon 2022,Ideahack! - WHU`s Hackathon ,HR Hackathon: Embrace distributed teams and remote HR,Hackathon BDC Montréal 2020,IIT Madras RP & IC's Student Hackathon - November 2022
Kimberly Juarez,API World Hackathon 2022,Global Hack Week December Day 3,MountainHacks,Hack for the World 2022,HackUIowa '23
Barry Alexander,API World Hackathon 2022,Snap Spotlight Lensathon,The ELC Virtual Hackathon,Foursquare Places Hackathon,TiE University APP-A-THON 2022
Jose Cooper,Uganda Zoohackathon 2019,Codestellation 2020,Rehack ,Columbia DivHacks 2020,Chainlink Fall Hackathon 2021
Nancy Cruz,Hack Upstate XV,ETH Panama Hackathon 2022,Stellar Meridian Hackathon 2020,Bitcoin Hackathon for MFI & Education,Human DeFi Haeck
Michael Weaver,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Andrew Jensen,UiPath Innovation RPA Hackathon 2021,IIT Madras RP & IC's Student Hackathon - November 2022,Algothon 2019 @ BlackRock,Nokathon ,IBM Z Datathon 2023
Laura Perry,Google’s Immersive Geospatial Challenge,API Hacks 2.0,AT&T 5G Hackathon,HACC 2022,Accenture Hackathon - Banking Revolution Edition
James Miller,Google’s Immersive Geospatial Challenge,Golden Hack: Impact Weekend,DigiEduHack Barcelona,2. Provinzial Rheinland Hackathon: Future of Insurance,The Fidelity Hackathon
Barbara Nunez,CS Week 3.0 Hackathon,QuackHacks Spring 2023,jacobsHack! 2021,IBM Z Datathon 2023,HackAttack
Carol Harris,YouthCodeX,Post Covid Hack 2020,WAI Global Responsible AI Hackathon,DesignMerced,TYE Hackathon
Kyle Russell,API World Hackathon 2022,India Innovation Series - Delhi NCR,Web3 Stack Hack,The Freshworks Refresh App Challenge ,Mixed Reality Challenge: StereoKit (C# and OpenXR)
Kimberly Fox,API World Hackathon 2022,TIQC x Code Resolve x Girls Who Code Hacks,Call for Startups,CodeXplode: Ignite the Coding Revolution,BlockHack Global FE 2022
Brandon Middleton,Google’s Immersive Geospatial Challenge,HackEPS 2021,Vivid Hacks,Stellar Meridian Hackathon 2020,AI Games
Carlos Lee,HackSmith 2021,Hack The World,Youth4Change Hackathon 2022,WilsonHacks 4.0,TPCC DMIG: The Green Micro:bit Challenge
Margaret Reynolds,API World Hackathon 2022,HR Hackathon: Embrace distributed teams and remote HR,Luna Hacks  : Software Engineering ,Tigre Hacks,Seerbit Future of Payment Hackathon 
Martin Baker,AI & Music festival hackathon,XDC DeFi Hackathon,Hack to the Future,UPitch 2019,Facebook Developer Circle Hackathon - Los Angeles
Margaret Morrison,D Incuvator,SystemsHacks 2020: LifeHacks,loomSDK Holiday Hack,Japan LawTech SOAR: Embracing Society 5.0,SyntHacks II
Gregory Mack,AT&T 5G Hackathon,QBHacks 2019,Metaverso Hackathon,GDST Cologne Hackathon,Zoohackathon 2019 - Botswana
Matthew Villegas,Google’s Immersive Geospatial Challenge,STEM JAM,Opportunity Hack 2023 - Virtual,Zoohackathon 2019 - Botswana,Uganda Zoohackathon 2019
Joseph Lewis,API World Hackathon 2022,Codetivate,EduLearn Hackathon(✧Free Goodies for All!✧),AT&T Next Gen TV Hackathon,Post Covid Hack 2020
David Ruiz,Google’s Immersive Geospatial Challenge,Pega Community Hackathon 2022,EUREKA! 2023,Facebook Developer Circle Hackathon - Los Angeles,BlockHack Hackathon
Sara Roberts,UPitch 2019,Dashathon,Microsoft US Hack for Wellness,HackARG,Disrupt Puerto Rico Hackathon
Nathan Beck,HackPrinceton Fall 2022,QWER Hacks 2022,CLOSED for SIGNUPS - Code For a Cause 2023 - Chicago,#MeineHeimat2030, Fitch Code For a Cause 2023 with Amazon
Sherry Davis,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Jon Salazar,Qubit 24Hr Hackathon,Conrad Challenge Jr. Hackathon,Longhorn Hack for Humanity 2022,APP-A-THON (Virtual Hackathon),2022 AMD All Girl Online international Hackathon
Crystal Taylor,API World Hackathon 2022,Cybersecurity Hackathon- Secure Kenya,Random Power Hackathon,Start Green Hackathon 2020,The Global Hackathon - LA Blockchain Week 
Cynthia Smith,HVTechFest Hackathon,Urban Health AI Challenge - Detroit ,Helyx India Hacks,MD Hacks,Future of Regenerative Cities GITEX GLOBAL - DevSlam 2023
Joseph Schultz,MarinaHacks 2022,SharkHack's MiniHack,Hack Upstate XV,SunflowerHack2021,"Sunshine State Hackathon, Florida, Oct.21-23"
Brianna Romero,API World Hackathon 2022,A-Z Hacks,PlatHacks,"Motor City Hack on Mobility, Health and Well-being",Courier Hacks: Open Source
Nathaniel Ward,API World Hackathon 2022,Dashathon,FOLLOW THE WHITE RABBIT HACKATHON 2021,Finclusion Hackathon,SharkHack's MiniHack
Cheryl Vang,VR Summit Hackathon,Genius Challenge,Prototypical,ForgeMcGill ,Hack-A-League
Jessica Swanson,6ixBits,Kijiji Internal Hackathon,BostonHacks 2021,Beyond Code,"Motor City Hack on Mobility, Health and Well-being"
Andrew Alexander,Future of Forestry Hackathon,AI Art Competition Sydney Australia,CodeXplode: Ignite the Coding Revolution,HackLBS,EZHacks
